system_call,car_count,body_count,mariadb_counts,mysql_counts,postgres_counts,sysbench_counts
xtensa,0,0,0,0,0,0
writev,0,0,0,0,0,0
write,55452,6798,2874,6008,480,38904
waitpid,0,0,0,0,0,0
waitid,0,0,0,0,0,0
wait4,4,4,97,79,80,1561
wait3,0,0,0,0,0,0
wait,0,0,0,0,0,0
vserver,0,0,0,0,0,0
vmsplice,0,0,0,0,0,0
vm86old,0,0,0,0,0,0
vm86,0,0,0,0,0,0
vhangup,0,0,0,0,0,0
vfork,0,0,0,0,0,129
utrap_install,0,0,0,0,0,0
utimes,0,0,0,0,0,0
utimensat,0,0,0,0,0,478
utime,0,0,0,0,0,0
ustat,0,0,0,0,0,0
usr32,0,0,0,0,0,0
usr26,0,0,0,0,0,0
userfaultfd,0,0,0,0,0,0
uselib,0,0,0,0,0,0
unshare,0,0,0,0,0,0
unlinkat,0,0,0,0,0,146
unlink,0,0,474,276,30,406
unimplemented,0,0,0,0,0,0
uname,4,4,8,6,0,14
umount2,0,0,0,0,0,0
umount,0,0,0,0,0,0
umask,0,0,20,22,0,270
ugetrlimit,0,0,0,0,0,0
tuxcall,0,0,0,0,0,0
truncate64,0,0,0,0,0,0
truncate,0,0,0,0,0,0
tkill,0,0,0,0,0,0
timestamp,0,0,0,0,0,0
times,0,0,4088,574918,0,0
timerfd_settime,0,0,0,0,0,0
timerfd_gettime,0,0,0,0,0,0
timerfd_create,0,0,0,0,0,0
timer_settime,0,0,0,0,0,0
timer_gettime,0,0,0,0,0,0
timer_getoverrun,0,0,0,0,0,0
timer_delete,0,0,0,0,0,0
timer_create,0,0,0,0,0,0
time,0,0,0,0,0,0
tgkill,0,0,6,6,0,0
tee,0,0,0,0,0,0
sysmips,0,0,0,0,0,0
syslog,0,0,0,0,0,0
sysinfo,2,2,10,12,0,22
sysfs,0,0,0,0,0,0
sysctl,0,0,0,0,0,0
syscalls,0,0,0,0,0,0
syscall,0,0,0,0,0,0
sys_debug_setcontext,0,0,0,0,0,0
syncfs,0,0,0,0,0,0
sync_file_range2,0,0,0,0,0,0
sync_file_range,0,0,0,0,28,154
sync,0,0,0,0,0,0
symlinkat,0,0,0,2,0,0
symlink,0,0,0,0,0,78
switch_endian,0,0,0,0,0,0
switch,1283308,218607,24561,242984,1288,62573
swapon,0,0,0,0,0,0
swapoff,0,0,0,0,0,0
swapcontext,0,0,0,0,0,0
subpage_prot,0,0,0,0,0,0
stty,0,0,0,0,0,0
stime,0,0,0,0,0,0
statx,0,0,0,0,0,0
statvfs,0,0,0,0,0,0
statfs64,0,0,0,0,0,0
statfs,0,0,0,38,0,348
stat64,0,0,0,0,0,0
stat,216,216,0,8366,0,0
ssetmask,0,0,0,0,0,0
sram_free,0,0,0,0,0,0
sram_alloc,0,0,0,0,0,0
spu_run,0,0,0,0,0,0
spu_create,0,0,0,0,0,0
splice,0,0,0,0,0,0
spill,0,0,0,0,0,0
socketpair,0,0,0,0,0,0
socketcall,0,0,0,0,0,0
socket,2,2,52,58,0,208
sigwaitinfo,0,0,0,0,0,0
sigtimedwait,0,0,0,0,0,0
sigsuspend,0,0,0,0,0,0
sigreturn,0,0,0,0,0,0
sigqueue,0,0,0,0,0,0
sigprocmask,0,0,0,0,0,0
sigpending,0,0,0,0,0,0
signalfd4,0,0,0,0,40,0
signalfd,0,0,0,0,0,0
signaldeliver,8,8,27,17,80,182
signal,0,0,0,0,0,0
sigaltstack,0,0,0,2,0,16
sigaction,0,0,0,0,0,0
shutdown,0,0,0,14,0,0
shmop,0,0,0,0,0,0
shmget,0,0,0,0,0,0
shmdt,0,0,0,0,0,0
shmctl,0,0,0,0,0,0
shmat,0,0,0,0,0,0
sgetmask,0,0,0,0,0,0
setxattr,0,0,0,0,0,0
setup,0,0,0,0,0,0
setuid32,0,0,0,0,0,0
setuid,0,0,0,0,0,0
settimeofday,0,0,0,0,0,0
setsockopt,0,0,50,36,0,14
setsid,0,0,0,2,40,4
setrlimit,0,0,0,0,0,0
setreuid32,0,0,0,0,0,0
setreuid,0,0,0,0,0,0
setresuid32,0,0,0,0,0,0
setresuid,0,0,0,0,0,18
setresgid32,0,0,0,0,0,0
setresgid,0,0,0,0,0,18
setregid32,0,0,0,0,0,0
setregid,0,0,0,0,0,0
setpriority,0,0,0,8,0,0
setpgrp,0,0,0,0,0,0
setpgid,4,4,0,0,0,20
setns,0,0,0,0,0,0
setitimer,0,0,0,0,0,0
sethostname,0,0,0,0,0,0
sethostid,0,0,0,0,0,0
sethae,0,0,0,0,0,0
setgroups32,0,0,0,0,0,0
setgroups,0,0,0,0,0,18
setgid32,0,0,0,0,0,0
setgid,0,0,0,0,0,32
setfsuid32,0,0,0,0,0,0
setfsuid,0,0,0,0,0,0
setfsgid32,0,0,0,0,0,0
setfsgid,0,0,0,0,0,0
seteuid,0,0,0,0,0,0
setegid,0,0,0,0,0,0
setdomainname,0,0,0,0,0,0
setcontext,0,0,0,0,0,0
set_tls,0,0,0,0,0,0
set_tid_address,2,2,34,32,0,492
set_thread_area,0,0,0,0,0,0
set_robust_list,32,32,116,224,40,1102
set_mempolicy,0,0,0,0,0,0
sendto,2094,2008,35606,35492,0,18
